"filename", "language", "Python", "pip requirements", "JSON", "comment", "blank", "total"
"c:\Users\Jayanth Krishna\Desktop\site\sugumar\network-visualization-tool\agent\agent_config.json", "JSON", 0, 0, 9, 0, 0, 9
"c:\Users\Jayanth Krishna\Desktop\site\sugumar\network-visualization-tool\agent\block_outbound.py", "Python", 13, 0, 0, 1, 3, 17
"c:\Users\Jayanth Krishna\Desktop\site\sugumar\network-visualization-tool\agent\disconnect_windows.py", "Python", 106, 0, 0, 21, 11, 138
"c:\Users\Jayanth Krishna\Desktop\site\sugumar\network-visualization-tool\agent\dist\agent_config.json", "JSON", 0, 0, 9, 0, 0, 9
"c:\Users\Jayanth Krishna\Desktop\site\sugumar\network-visualization-tool\agent\functions\__init__.py", "Python", 0, 0, 0, 0, 1, 1
"c:\Users\Jayanth Krishna\Desktop\site\sugumar\network-visualization-tool\agent\functions\installed_apps.py", "Python", 80, 0, 0, 7, 13, 100
"c:\Users\Jayanth Krishna\Desktop\site\sugumar\network-visualization-tool\agent\functions\network_scan.py", "Python", 59, 0, 0, 8, 11, 78
"c:\Users\Jayanth Krishna\Desktop\site\sugumar\network-visualization-tool\agent\functions\ports.py", "Python", 49, 0, 0, 9, 7, 65
"c:\Users\Jayanth Krishna\Desktop\site\sugumar\network-visualization-tool\agent\functions\sender.py", "Python", 97, 0, 0, 0, 39, 136
"c:\Users\Jayanth Krishna\Desktop\site\sugumar\network-visualization-tool\agent\functions\system.py", "Python", 126, 0, 0, 10, 10, 146
"c:\Users\Jayanth Krishna\Desktop\site\sugumar\network-visualization-tool\agent\functions\taskmanager.py", "Python", 91, 0, 0, 11, 13, 115
"c:\Users\Jayanth Krishna\Desktop\site\sugumar\network-visualization-tool\agent\functions\usbMonitor.py", "Python", 48, 0, 0, 17, 5, 70
"c:\Users\Jayanth Krishna\Desktop\site\sugumar\network-visualization-tool\agent\main.py", "Python", 40, 0, 0, 5, 13, 58
"c:\Users\Jayanth Krishna\Desktop\site\sugumar\network-visualization-tool\agent\main_gui.py", "Python", 243, 0, 0, 13, 59, 315
"c:\Users\Jayanth Krishna\Desktop\site\sugumar\network-visualization-tool\agent\reconnect_windows.py", "Python", 106, 0, 0, 12, 12, 130
"c:\Users\Jayanth Krishna\Desktop\site\sugumar\network-visualization-tool\agent\requirements.txt", "pip requirements", 0, 6, 0, 0, 0, 6
"c:\Users\Jayanth Krishna\Desktop\site\sugumar\network-visualization-tool\agent\sent.json", "JSON", 0, 0, 904948, 0, 0, 904948
"c:\Users\Jayanth Krishna\Desktop\site\sugumar\network-visualization-tool\agent\unblock_outbound.py", "Python", 12, 0, 0, 1, 3, 16
"c:\Users\Jayanth Krishna\Desktop\site\sugumar\network-visualization-tool\agent\unsent.json", "JSON", 0, 0, 63261, 0, 0, 63261
"c:\Users\Jayanth Krishna\Desktop\site\sugumar\network-visualization-tool\agent\verify_data.py", "Python", 12, 0, 0, 1, 3, 16
"Total", "-", 1082, 6, 968227, 116, 203, 969634
